Latitude,Longitude,Time
23.564025,87.28356,15:58:04
23.5640083333,87.283625,15:58:05
23.5639916667,87.2836583333,15:58:06
23.5639766667,87.28369,15:58:07
23.56396,87.2837066667,15:58:08
23.56394,87.2837233333,15:58:09
23.56392,87.28374,15:58:10
23.5638983333,87.28374,15:58:11
23.5638783333,87.28374,15:58:12
23.5638583333,87.2837233333,15:58:13
23.5638333333,87.2837066667,15:58:14
23.5637966667,87.28369,15:58:15
23.5637566667,87.283675,15:58:16
23.563715,87.2836583333,15:58:17
23.5636716667,87.2836416667,15:58:18
23.5636216667,87.283625,15:58:19
23.5635733333,87.28361,15:58:20
23.56352,87.2835933333,15:58:21
23.5634633333,87.2835766667,15:58:22
23.5634066667,87.28356,15:58:23
23.56335,87.2835283333,15:58:24
23.5632933333,87.2835116667,15:58:25
23.56324,87.283495,15:58:26
23.5631983333,87.2834783333,15:58:27
23.5631616667,87.2834783333,15:58:28
23.5631333333,87.2834633333,15:58:29
23.56311,87.2834466667,15:58:30
23.5630966667,87.2834466667,15:58:31
23.5630933333,87.2834466667,15:58:32
23.5630933333,87.2834466667,15:58:33
23.5630933333,87.2834466667,15:58:34
23.5630933333,87.2834466667,15:58:35
23.5630933333,87.2834466667,15:58:36
23.5630933333,87.2834466667,15:58:37
23.5630816667,87.2834466667,15:58:38
23.5630566667,87.28343,15:58:39
23.5630316667,87.28343,15:58:40
23.563,87.2834133333,15:58:41
23.5629666667,87.2834133333,15:58:42
23.56293,87.2833983333,15:58:43
23.56289,87.283365,15:58:44
23.5628483333,87.2833483333,15:58:45
23.5628083333,87.2833333333,15:58:46
23.56276,87.2833166667,15:58:47
23.562715,87.2833166667,15:58:48
23.5626666667,87.2833,15:58:49
23.5626216667,87.2832833333,15:58:50
23.5625716667,87.2832666667,15:58:51
23.5625283333,87.2832516667,15:58:52
23.5624783333,87.283235,15:58:53
23.56243,87.2832183333,15:58:54
23.562385,87.2832183333,15:58:55
23.562345,87.2832016667,15:58:56
23.5623083333,87.2831866667,15:58:57
23.5622716667,87.28317,15:58:58
23.5622433333,87.2831533333,15:58:59
23.562215,87.2831533333,15:59:00
23.56219,87.2831366667,15:59:01
23.5621616667,87.2831366667,15:59:02
23.5621333333,87.2831216667,15:59:03
23.562105,87.283105,15:59:04
23.5620716667,87.283105,15:59:05
23.56204,87.283105,15:59:06
23.5620033333,87.283105,15:59:07
23.5619666667,87.2831216667,15:59:08
23.56193,87.2831366667,15:59:09
23.5618883333,87.2831533333,15:59:10
23.5618516667,87.28317,15:59:11
23.561815,87.2831866667,15:59:12
23.5617783333,87.2832016667,15:59:13
23.5617416667,87.2832183333,15:59:14
23.561705,87.2832516667,15:59:15
23.5616766667,87.2832666667,15:59:16
23.5616533333,87.2832666667,15:59:17
23.5616316667,87.2832833333,15:59:18
23.5616116667,87.2833,15:59:19
23.5615883333,87.2833,15:59:20
23.561555,87.2833333333,15:59:21
23.5615183333,87.2833483333,15:59:22
23.5614783333,87.2833816667,15:59:23
23.5614366667,87.2833983333,15:59:24
23.5613966667,87.2834133333,15:59:25
23.561355,87.28343,15:59:26
23.5613183333,87.2834466667,15:59:27
23.5612833333,87.2834633333,15:59:28
