,zone_class,time_level,next_stop_distance,total_waiting_time,wifi_count,honks,Population_class,rsi,week_class,bus_stop,latitude,longitude
163,0.0,4.0,383.806599261,2.0,1.0,0.0,1.0,1.7628387600000004,0.0,0.0,23.49649977,87.31365892
522,1.0,3.0,416.829972431,7.0,4.0,0.0,0.0,8.15748423888889,1.0,1.0,23.54818866,87.28372208
575,1.0,3.0,29.0217268128,1.0,77.0,2.0,0.0,7.9135436000000015,0.0,0.0,23.5391405,87.29333133
266,1.0,4.0,250.195877148,3.0,0.0,1.0,1.0,7.555007925,1.0,1.0,23.54531108,87.2812832
148,1.0,4.0,251.479329183,1.0,0.0,0.0,1.0,11.44738,0.0,1.0,23.53913876,87.29423503
1633,0.0,4.0,32.0969674286,9.0,8.0,9.0,1.0,8.872065735294116,0.0,0.0,23.49389584,87.31673298
1196,1.0,2.0,93.2138455225,1.0,0.0,0.0,1.0,10.140144,0.0,0.0,23.52726424,87.31112798
1335,1.0,1.0,41.9601773308,1.0,61.0,2.0,2.0,8.465400500000001,1.0,0.0,23.53914215,87.29342346
1325,1.0,4.0,284.535613511,1.0,0.0,0.0,1.0,5.88565065,1.0,0.0,23.55330798,87.28671202
306,1.0,4.0,279.095978886,1.0,0.0,2.0,1.0,8.636589,0.0,0.0,23.54877369,87.28410331
192,2.0,1.0,32.6756084704,0.0,0.0,0.0,1.0,10.611801,1.0,0.0,23.5640659,87.28353188
309,1.0,4.0,322.687366172,1.0,0.0,2.0,1.0,9.66370375,0.0,1.0,23.5437367,87.28445756
861,0.0,4.0,845.891950176,1.0,0.0,2.0,1.0,8.873611499999997,0.0,0.0,23.50006375,87.30633040000002
63,1.0,4.0,30.084672924,3.0,0.0,0.0,1.0,1.987492868333333,0.0,1.0,23.53932677,87.29311769
1302,0.0,4.0,24.4647458059,1.0,0.0,0.0,1.0,8.96459175,1.0,0.0,23.50000482,87.30638904
1673,1.0,1.0,158.57778595,1.0,27.0,1.0,2.0,11.023613000000001,0.0,1.0,23.54307053,87.29047161
1075,0.0,2.0,54.45075194060001,8.0,9.0,0.0,2.0,9.881575535714287,1.0,1.0,23.49468374,87.31689333
1244,1.0,1.0,222.90436164599998,1.0,0.0,0.0,2.0,8.518081500000001,0.0,0.0,23.54509161,87.28161521
982,1.0,4.0,164.114627726,1.0,0.0,0.0,1.0,8.6006775,0.0,0.0,23.54376406,87.28426431
518,2.0,3.0,564.39495758,16.0,3.0,0.0,1.0,8.614243884444445,1.0,1.0,23.56425542,87.28312299
949,1.0,3.0,440.57605268300006,1.0,17.0,0.0,0.0,8.510894500000001,0.0,1.0,23.5417375,87.28984495
432,1.0,2.0,74.8197868813,1.0,0.0,0.0,1.0,0.41490171,0.0,1.0,23.55118358,87.28602966
944,1.0,3.0,274.361053855,1.0,0.0,0.0,0.0,6.7703095,0.0,1.0,23.54713785,87.28276468
218,0.0,4.0,24.462300317399997,22.0,10.0,0.0,1.0,8.754384706666666,0.0,0.0,23.49334027,87.31652905
767,1.0,2.0,156.631808514,1.0,0.0,0.0,1.0,6.9103699999999995,0.0,1.0,23.5500927,87.28507338
286,1.0,1.0,195.63831131400002,17.0,3.0,0.0,2.0,9.55447245283019,0.0,0.0,23.53512398,87.29763951
490,0.0,4.0,74.2125277858,1.0,0.0,0.0,1.0,5.1877441,0.0,0.0,23.49992963,87.30647658
1351,0.0,4.0,340.59735023400003,6.0,7.0,0.0,1.0,8.65095513,0.0,0.0,23.49328218,87.31626653
413,1.0,4.0,81.1349801082,1.0,0.0,2.0,1.0,6.393226650000001,1.0,0.0,23.53549307,87.29657851
361,0.0,4.0,1263.73434841,101.0,7.0,0.0,1.0,8.123897999999999,0.0,0.0,23.49331601,87.3162539
1228,1.0,2.0,398.643393502,2.0,9.0,0.0,1.0,8.85266515,0.0,1.0,23.54827338,87.28369098
1304,0.0,4.0,373.36897900699995,4.0,0.0,3.0,1.0,9.326919666666667,1.0,1.0,23.50027617,87.30588772
1132,1.0,4.0,191.550613906,3.0,0.0,2.0,1.0,7.3772406,0.0,0.0,23.5369204,87.30158356
1379,0.0,1.0,262.945555173,1.0,0.0,0.0,2.0,5.749176,0.0,0.0,23.49932527,87.30825706
453,0.0,2.0,511.680667676,1.0,0.0,0.0,2.0,8.133804300000001,0.0,0.0,23.50766097,87.31019931
1651,1.0,4.0,174.03139556,7.0,6.0,1.0,1.0,6.2471771124999975,0.0,0.0,23.54370708,87.28785991
968,1.0,4.0,436.042955264,3.0,4.0,0.0,1.0,8.103580475000001,0.0,0.0,23.53686958,87.30157091
1041,1.0,2.0,160.747095645,6.0,17.0,0.0,1.0,9.508583526315787,0.0,1.0,23.54709423,87.28271239
584,1.0,3.0,203.799309701,1.0,0.0,2.0,0.0,8.7251737,0.0,0.0,23.53497624,87.29778978
1629,0.0,3.0,840.557244915,1.0,0.0,0.0,1.0,5.3062592,0.0,0.0,23.51079779,87.31066665
1203,0.0,2.0,395.483871075,5.0,7.0,0.0,2.0,9.469771233333336,0.0,0.0,23.49329991,87.31630617
1280,1.0,2.0,16.7477089181,43.0,6.0,0.0,1.0,9.530097526229508,0.0,0.0,23.53510805,87.29740043
1618,1.0,3.0,28.399630566,1.0,0.0,0.0,0.0,8.43667625,0.0,0.0,23.54387437,87.28790796
721,1.0,3.0,57.1015387987,1.0,0.0,0.0,0.0,8.2990035,0.0,1.0,23.5452903,87.2812744
1501,1.0,4.0,39.7804963979,1.0,14.0,0.0,1.0,6.91516135,1.0,0.0,23.53514472,87.29820605
420,0.0,4.0,403.712671996,11.0,0.0,0.0,1.0,7.9771219222222225,1.0,1.0,23.50359231,87.3077323
405,1.0,4.0,372.672669725,2.0,0.0,2.0,1.0,5.145839725,1.0,0.0,23.53919372,87.29359242
923,1.0,2.0,474.935172115,4.0,14.0,0.0,1.0,8.799995391666668,0.0,1.0,23.54160712,87.29010635
777,1.0,2.0,77.3347991446,4.0,8.0,0.0,1.0,8.841294550000002,1.0,1.0,23.55119594,87.28604778
1543,1.0,2.0,389.62471736,2.0,0.0,0.0,1.0,7.350102733333332,1.0,0.0,23.54428821,87.28343753
1210,0.0,2.0,70.56416565069999,2.0,0.0,0.0,2.0,6.2818907999999976,0.0,0.0,23.50227602,87.30689478
881,2.0,4.0,96.34735142379999,3.0,0.0,5.0,1.0,8.742334833333333,0.0,0.0,23.55559657,87.28550766
1110,1.0,3.0,214.89984727700002,5.0,50.0,7.0,0.0,9.039842757142855,0.0,0.0,23.53919018,87.2936652
277,0.0,1.0,428.83609658,140.0,3.0,0.0,2.0,9.650762744047627,0.0,0.0,23.49336691,87.31617472
1301,0.0,4.0,1256.19775825,6.0,6.0,9.0,1.0,8.839301277777778,1.0,0.0,23.49328201,87.31628912
1547,1.0,2.0,341.861065253,1.0,45.0,0.0,1.0,11.468933,1.0,0.0,23.53915979,87.29391408
631,2.0,4.0,323.96157809,3.0,0.0,5.0,1.0,8.7033272375,0.0,1.0,23.56189986,87.28330461
1091,1.0,2.0,932.699392736,15.0,13.0,0.0,1.0,8.66711518125,1.0,0.0,23.54641479,87.29281099
236,1.0,4.0,59.1510742014,1.0,0.0,0.0,1.0,8.7898175,0.0,0.0,23.54393275,87.28791428
759,1.0,2.0,44.3393521793,1.0,0.0,0.0,1.0,9.88636,0.0,1.0,23.54170355,87.28985275
1473,0.0,4.0,2331.59231412,4.0,0.0,0.0,1.0,9.189307,0.0,0.0,23.50736843,87.31000702
1620,1.0,3.0,440.57605268300006,1.0,17.0,1.0,0.0,8.510894500000001,0.0,1.0,23.5417375,87.28984495
438,1.0,2.0,61.7992906379,1.0,0.0,0.0,1.0,10.12339,0.0,0.0,23.54554576,87.28153031
1164,1.0,2.0,1442.282288,2.0,3.0,0.0,1.0,8.445791338461538,1.0,1.0,23.52829163,87.3111037
1246,1.0,1.0,421.583264055,1.0,0.0,2.0,2.0,9.824112,0.0,1.0,23.54180136,87.28985233
208,1.0,3.0,34.2389358953,72.0,27.0,0.0,0.0,9.394086488775518,0.0,1.0,23.53569676,87.29766644
1013,0.0,4.0,841.787838782,1.0,0.0,2.0,1.0,6.5680007000000025,1.0,1.0,23.50038096,87.30604670000002
1313,1.0,4.0,349.232416184,17.0,29.0,29.0,1.0,8.814197454545457,1.0,1.0,23.53768332,87.29673788
1523,0.0,4.0,36.0555281298,10.0,4.0,0.0,1.0,8.912435253571427,0.0,0.0,23.49996206,87.30610152
58,1.0,4.0,254.968753343,14.0,6.0,0.0,1.0,8.340805766666668,0.0,1.0,23.55007323,87.28517122
495,1.0,4.0,191.550613906,3.0,0.0,0.0,1.0,7.3772406,0.0,0.0,23.5369204,87.30158356
1334,1.0,1.0,1232.82310582,2.0,5.0,6.0,2.0,9.313121357142855,1.0,1.0,23.54452063,87.28284819
1106,1.0,3.0,220.047272691,2.0,6.0,7.0,0.0,8.926586325,0.0,1.0,23.54379349,87.28436285
907,1.0,4.0,1516.11410529,1.0,0.0,0.0,1.0,9.6277925,0.0,0.0,23.53586903,87.29594438
1328,2.0,1.0,161.796689165,2.0,0.0,0.0,1.0,8.678883999999998,1.0,0.0,23.56067552,87.2839908
363,0.0,4.0,367.057919749,2.0,1.0,0.0,1.0,8.123897999999999,0.0,1.0,23.50034347,87.30586335
534,1.0,3.0,2962.37657752,2.0,0.0,0.0,0.0,8.0085095,1.0,0.0,23.52654624,87.31131028
354,1.0,4.0,156.713354703,2.0,9.0,4.0,1.0,9.299100571428571,0.0,1.0,23.55010703,87.28502472
893,1.0,4.0,379.03659874,1.0,0.0,0.0,1.0,9.9737545,0.0,0.0,23.5426211,87.28686590000002
1350,0.0,4.0,27.3826921639,33.0,9.0,0.0,1.0,8.026473490769234,0.0,0.0,23.49321757,87.31652564
1525,0.0,4.0,522.603957873,1.0,0.0,0.0,1.0,8.691658,0.0,0.0,23.50326308,87.30751196
1608,2.0,4.0,397.67309699099997,2.0,0.0,4.0,1.0,9.481144,1.0,0.0,23.55905580000001,87.28458727
1029,1.0,2.0,174.585315896,17.0,10.0,0.0,1.0,7.493012487096774,0.0,0.0,23.5351685,87.29745958
292,1.0,1.0,175.405433285,5.0,3.0,0.0,2.0,9.451417733333336,0.0,1.0,23.55000331,87.28494816
607,1.0,4.0,439.312102314,1.0,0.0,0.0,1.0,9.291405000000001,0.0,1.0,23.54308653,87.29050528
1289,1.0,2.0,256.40714888599996,3.0,15.0,0.0,1.0,2.320500279230769,0.0,1.0,23.54827309,87.28360251
589,0.0,3.0,438.334439,1.0,0.0,2.0,1.0,8.43667625,0.0,1.0,23.50710828,87.30984814
1343,1.0,1.0,1393.24353013,3.0,8.0,6.0,2.0,8.816954055555557,1.0,0.0,23.53707794,87.30156112
1142,1.0,4.0,127.477117667,17.0,11.0,10.0,1.0,9.195175242307693,0.0,0.0,23.54206841,87.28983412
555,1.0,2.0,101.16149783,4.0,0.0,0.0,1.0,8.57942575,0.0,0.0,23.53539167,87.29700034
233,1.0,4.0,481.55032323300003,7.0,60.0,0.0,1.0,8.179719823529412,0.0,0.0,23.53910387,87.29349703
1163,1.0,2.0,90.8330662115,1.0,0.0,0.0,1.0,9.402733,1.0,0.0,23.52751138,87.31083989
1391,1.0,1.0,441.781406794,1.0,0.0,0.0,2.0,5.163803,0.0,1.0,23.53918325,87.29314672
196,2.0,3.0,119.261646435,2.0,0.0,0.0,1.0,8.873616333333333,0.0,0.0,23.5570343,87.28599182
1601,1.0,4.0,236.48091372599998,2.0,0.0,3.0,1.0,7.969204125,1.0,1.0,23.5453171,87.28125959999998
820,1.0,4.0,178.83699362299996,1.0,0.0,2.0,1.0,8.938263000000003,0.0,1.0,23.54530767,87.28136551
1405,2.0,1.0,54.9621997117,3.0,3.0,0.0,1.0,8.924194250000003,0.0,0.0,23.56380377,87.28218939
